[10:54:08] [ServerMain/INFO]: Building unoptimized datafixer
[10:54:09] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:54:14] [ServerMain/INFO]: Loaded 7 recipes
[10:54:15] [ServerMain/INFO]: Loaded 1179 advancements
[10:54:15] [Server thread/INFO]: Starting minecraft server version 1.19.3
[10:54:15] [Server thread/INFO]: Loading properties
[10:54:15] [Server thread/INFO]: Default game type: CREATIVE
[10:54:15] [Server thread/INFO]: Generating keypair
[10:54:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:54:16] [Server thread/INFO]: Using epoll channel type
[10:54:16] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[10:54:16] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[10:54:16] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[10:54:16] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[10:54:16] [Server thread/INFO]: Preparing level "world"
[10:54:18] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[10:54:19] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:19] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:19] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:19] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:20] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:21] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:21] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:21] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:22] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:23] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:23] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:25] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:25] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:25] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:27] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:27] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:27] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:28] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:29] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:29] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:30] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:30] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:54:30] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:31] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:54:32] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:32] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:54:33] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:33] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:54:33] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:54:34] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:35] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:35] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:36] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:54:36] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:37] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:54:38] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:54:38] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[10:54:39] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:39] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:39] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:40] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:40] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:54:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:42] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[10:54:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:44] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:44] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:44] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:45] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:54:46] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:46] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:47] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:48] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:49] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:54:50] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:50] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:51] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:54:52] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:52] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:53] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:53] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:54] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:54] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[10:54:55] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:55] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:54:55] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:56] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:57] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:54:57] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[10:54:57] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:58] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:54:58] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:54:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:55:00] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:55:01] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:55:01] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:55:02] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:55:02] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:55:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:55:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:55:04] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:55:04] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:55:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:55:05] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:55:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:55:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:55:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:55:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:55:08] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:55:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:55:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:55:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:55:10] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:55:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:55:11] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:55:11] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:55:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:55:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:55:13] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:55:13] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:55:14] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[10:55:14] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:55:15] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[10:55:15] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[10:55:16] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:55:16] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[10:55:16] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[10:55:17] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[10:55:17] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[10:55:18] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[10:55:19] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[10:55:19] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[10:55:19] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[10:55:20] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[10:55:21] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[10:55:21] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[10:55:21] [Worker-Main-9/INFO]: Preparing spawn area: 1%
[10:55:22] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[10:55:22] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[10:55:23] [Worker-Main-9/INFO]: Preparing spawn area: 2%
[10:55:23] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[10:55:24] [Worker-Main-9/INFO]: Preparing spawn area: 2%
[10:55:25] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[10:55:25] [Worker-Main-9/INFO]: Preparing spawn area: 3%
[10:55:26] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[10:55:26] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[10:55:26] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[10:55:27] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[10:55:27] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:55:28] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[10:55:28] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:55:29] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:55:30] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[10:55:30] [Worker-Main-4/INFO]: Preparing spawn area: 4%
